recency,frequency,monetary
334,1,110.03
241,1,52.38
248,2,71.51
136,1,68.82
228,1,671.51
572,1,55.05
151,1,99.9
367,1,864.69
217,1,86.92
239,1,45.0
473,1,50.0
275,1,218.35
263,1,47.77
406,1,115.16
165,1,25.56
436,1,75.07
459,1,98.06
263,1,166.59
188,1,373.98
387,1,107.38
182,3,16.97
517,1,49.01
119,1,148.71
126,1,117.63
210,1,173.98
301,1,184.11
325,1,54.72
139,1,40.22
515,1,32.41
366,1,129.54
393,1,78.65
151,1,199.0
59,1,154.18
44,1,19.42
259,1,171.53
410,1,54.0
516,1,124.95
369,1,62.74
311,1,78.87
203,1,128.76
124,1,55.95
114,1,139.75
330,1,220.02
223,1,72.15
145,1,66.22
167,1,169.62
247,1,120.43
238,1,16.13
132,1,92.9
464,1,126.92
101,1,202.98
189,1,199.4
564,1,420.38
124,1,104.43
262,1,27.8
571,1,164.84
306,1,238.69
398,1,95.36
566,1,150.89
567,1,367.65
292,1,132.06
218,1,161.45
265,1,236.65
525,1,135.53
95,1,63.68
170,1,80.26
199,1,78.2
52,1,62.49
589,1,76.05
326,1,35.68
243,1,37.77
274,1,92.73
256,1,64.0
305,1,163.8
203,1,62.23
48,1,95.56
498,1,33.25
153,1,113.48
360,1,135.77
54,1,27.4
132,1,51.43
87,1,400.75
311,1,24.73
416,1,202.87
394,1,154.1
602,1,69.7
72,1,50.93
225,1,133.48
94,1,112.61
443,1,1220.72
140,1,187.26
399,1,93.83
113,1,184.77
306,1,323.96
235,1,134.09
43,1,37.83
584,1,50.86
248,1,67.79
216,1,165.7
311,1,77.79
375,1,173.88
727,1,111.51
608,1,87.27
447,1,46.0
488,1,105.28
145,1,122.32
480,1,213.54
428,1,68.04
542,1,34.86
64,1,105.53
144,1,113.7
504,1,147.14
82,1,61.99
326,1,160.77
524,1,38.72
332,1,135.59
326,1,40.78
158,1,48.13
140,1,52.22
259,1,173.23
312,1,4.5
249,1,148.15
209,1,438.95
453,1,85.14
