"date","close","volume","open","high","low"
"2018/10/03","1372.4030","0.0000","1378.7730","1381.1750","1359.7150"
"2018/10/02","1370.8730","0.0000","1368.1450","1389.4640","1368.0960"
"2018/10/01","1370.4420","0.0000","1370.9290","1382.0510","1367.3070"
"2018/09/28","1366.7420","0.0000","1355.3670","1370.5790","1351.9050"
"2018/09/27","1357.8700","0.0000","1356.6310","1362.5480","1352.8390"
"2018/09/26","1351.8520","0.0000","1360.0430","1367.8160","1350.5570"
"2018/09/25","1364.8230","0.0000","1383.7480","1383.8350","1362.8130"
"2018/09/24","1388.4630","0.0000","1375.2960","1389.0590","1369.7440"
"2018/09/21","1383.0870","0.0000","1386.3800","1394.0990","1380.2560"
"2018/09/20","1387.6730","0.0000","1381.0470","1392.8030","1381.0070"
"2018/09/19","1371.6840","0.0000","1371.5100","1377.2420","1365.3300"
"2018/09/18","1368.8670","0.0000","1363.6570","1377.0400","1363.5220"
"2018/09/17","1357.4770","0.0000","1370.1650","1375.7300","1356.0970"
"2018/09/14","1377.3050","0.0000","1369.6020","1382.3460","1365.8980"
"2018/09/13","1362.2010","0.0000","1364.6810","1378.8020","1356.4880"
"2018/09/12","1346.0210","0.0000","1341.5480","1346.5110","1316.7600"
"2018/09/11","1361.8880","0.0000","1366.1120","1371.6070","1354.7320"
"2018/09/10","1375.7410","0.0000","1371.2410","1376.0000","1362.5550"
"2018/09/07","1360.7680","0.0000","1361.5590","1380.8900","1357.8070"
"2018/09/06","1366.3470","0.0000","1398.1110","1399.5900","1365.3160"
"2018/09/05","1403.8230","0.0000","1411.4950","1413.5460","1392.2090"
"2018/09/04","1410.9300","0.0000","1395.7480","1411.6510","1391.2020"
"2018/08/31","1401.2030","0.0000","1392.1220","1402.8390","1392.0430"
"2018/08/30","1393.1660","0.0000","1402.7210","1407.6540","1391.3700"
"2018/08/29","1406.3780","0.0000","1399.3070","1410.1290","1397.3560"
"2018/08/28","1402.9470","0.0000","1403.6270","1408.2690","1389.3170"
"2018/08/27","1397.4560","0.0000","1386.6350","1407.7190","1383.6410"
"2018/08/24","1375.8820","0.0000","1364.5190","1376.2430","1361.4800"
"2018/08/23","1356.1350","0.0000","1354.8620","1365.7990","1353.1420"
"2018/08/22","1354.5250","0.0000","1340.4610","1355.7470","1336.8860"
"2018/08/21","1348.2830","0.0000","1326.8180","1351.3900","1326.0630"
"2018/08/20","1322.0980","0.0000","1325.3180","1330.0100","1307.4620"
"2018/08/17","1323.4150","0.0000","1317.1500","1327.0160","1304.2220"
"2018/08/16","1333.0920","0.0000","1343.8680","1344.4200","1329.8150"
"2018/08/15","1334.8590","0.0000","1341.6810","1347.8460","1321.6840"
"2018/08/14","1354.1860","0.0000","1364.0500","1366.6300","1352.9280"
"2018/08/13","1356.7540","0.0000","1357.5260","1368.7650","1355.4960"
"2018/08/10","1354.8000","0.0000","1360.3390","1366.4840","1348.6150"
"2018/08/09","1389.0590","0.0000","1397.5480","1397.9240","1388.9470"
"2018/08/08","1403.7670","0.0000","1399.4060","1406.0410","1395.0050"
"2018/08/07","1400.0020","0.0000","1392.4260","1400.8780","1390.1270"
"2018/08/06","1389.2240","0.0000","1376.1810","1389.3160","1371.0890"
"2018/08/03","1381.6360","0.0000","1379.6320","1382.8560","1372.8860"
"2018/08/02","1378.8310","0.0000","1348.7310","1380.6850","1348.1310"
"2018/08/01","1365.1130","0.0000","1367.8090","1379.5230","1359.6270"
"2018/07/31","1367.4750","0.0000","1370.0340","1386.0740","1364.8290"
"2018/07/30","1358.5600","0.0000","1374.2910","1375.0200","1351.8970"
"2018/07/27","1372.2360","0.0000","1384.3910","1391.5710","1362.6040"
"2018/07/26","1378.4180","0.0000","1368.2690","1379.3240","1363.6750"
"2018/07/25","1353.1500","0.0000","1345.0500","1353.2980","1328.5960"
"2018/07/24","1346.5780","0.0000","1368.3890","1377.0190","1345.0530"
"2018/07/23","1361.3780","0.0000","1352.1000","1363.6610","1335.1020"
"2018/07/20","1359.1850","0.0000","1364.9340","1366.9690","1352.4290"
"2018/07/19","1365.8170","0.0000","1365.9500","1371.6390","1357.3870"
"2018/07/18","1369.4620","0.0000","1367.6760","1371.5620","1360.1110"
"2018/07/17","1358.9890","0.0000","1329.0840","1359.2820","1328.8440"
"2018/07/16","1339.2410","0.0000","1340.9990","1348.3510","1338.3950"
"2018/07/13","1340.8340","0.0000","1348.3980","1349.2120","1339.1880"
"2018/07/12","1346.2050","0.0000","1331.2590","1347.5690","1324.9700"
"2018/07/11","1336.7100","0.0000","1351.4740","1358.0690","1336.0590"
"2018/07/10","1372.2540","0.0000","1360.3230","1375.3280","1359.7960"
"2018/07/09","1358.0300","0.0000","1359.8290","1360.5710","1342.0990"
"2018/07/06","1349.1890","0.0000","1330.9650","1351.3070","1325.8520"
"2018/07/05","1332.9600","0.0000","1312.1990","1333.1450","1311.9200"
"2018/07/03","1297.7090","0.0000","1326.5760","1327.3080","1296.5010"
"2018/07/02","1321.8140","0.0000","1297.8900","1322.3540","1293.7840"
"2018/06/29","1313.7040","0.0000","1321.8900","1329.6230","1313.7040"
"2018/06/28","1311.6420","0.0000","1298.5200","1313.9520","1295.7220"
"2018/06/27","1300.5060","0.0000","1338.1990","1343.4700","1300.1070"
"2018/06/26","1333.4010","0.0000","1334.2090","1339.9140","1326.4990"
"2018/06/25","1328.0400","0.0000","1347.5150","1348.2860","1311.2800"
"2018/06/22","1371.0010","0.0000","1388.7170","1389.1350","1367.7900"
"2018/06/21","1381.0080","0.0000","1408.3450","1408.8500","1379.3740"
"2018/06/20","1398.5990","0.0000","1400.5640","1405.3710","1392.5070"
"2018/06/19","1391.5810","0.0000","1381.5330","1392.4310","1370.8650"
"2018/06/18","1407.9060","0.0000","1407.3540","1409.9270","1395.1730"
"2018/06/15","1422.0370","0.0000","1414.8660","1423.3570","1409.3100"
"2018/06/14","1423.1230","0.0000","1420.6360","1429.9860","1414.8600"
"2018/06/13","1414.4810","0.0000","1416.7100","1429.5360","1413.3320"
"2018/06/12","1416.3680","0.0000","1412.4230","1417.4650","1404.1810"
"2018/06/11","1408.9900","0.0000","1409.8980","1416.4790","1404.7370"
"2018/06/08","1412.2870","0.0000","1407.2940","1414.9250","1400.6090"
"2018/06/07","1424.3360","0.0000","1438.6580","1440.5540","1414.5520"
"2018/06/06","1437.9410","0.0000","1430.1320","1438.1320","1423.0840"
"2018/06/05","1428.5080","0.0000","1427.5840","1432.2590","1420.0940"
"2018/06/04","1422.6730","0.0000","1412.9920","1423.8830","1409.4270"
"2018/06/01","1411.3060","0.0000","1391.5350","1411.4300","1387.6690"
"2018/05/31","1378.9960","0.0000","1383.7620","1393.6140","1377.3230"
"2018/05/30","1389.9130","0.0000","1388.3860","1399.7830","1383.0330"
"2018/05/29","1380.9170","0.0000","1383.1330","1392.7160","1371.3760"
"2018/05/25","1390.8360","0.0000","1379.0010","1392.0830","1377.5120"
"2018/05/24","1378.7170","0.0000","1373.6330","1382.0280","1362.1120"
"2018/05/23","1373.9500","0.0000","1352.7640","1374.1160","1350.3780"
"2018/05/22","1366.9730","0.0000","1369.6890","1376.8530","1362.4540"
"2018/05/21","1359.3380","0.0000","1365.4180","1372.6460","1347.0990"
"2018/05/18","1345.1960","0.0000","1349.5950","1354.2350","1341.0410"
"2018/05/17","1364.8670","0.0000","1365.8190","1376.2440","1355.2700"
"2018/05/16","1370.0960","0.0000","1355.6750","1372.0290","1355.6530"
"2018/05/15","1351.0960","0.0000","1359.1300","1361.3990","1342.2600"
"2018/05/14","1367.5050","0.0000","1367.8280","1382.6860","1364.3520"
"2018/05/11","1350.4640","0.0000","1353.7570","1363.0380","1348.1590"
"2018/05/10","1360.7250","0.0000","1346.1520","1361.0990","1344.5320"
"2018/05/09","1336.6850","0.0000","1320.5440","1336.9850","1317.7430"
"2018/05/08","1318.0230","0.0000","1308.3600","1318.2590","1302.3210"
"2018/05/07","1308.4760","0.0000","1303.3010","1314.5010","1301.8670"
"2018/05/04","1296.7290","0.0000","1257.0600","1297.8110","1253.5820"
"2018/05/03","1267.4440","0.0000","1248.9520","1272.5500","1240.2980"
"2018/05/02","1259.4230","0.0000","1266.8020","1270.4100","1254.6060"
"2018/05/01","1265.9420","0.0000","1242.6750","1266.8710","1240.8880"
"2018/04/30","1244.3960","0.0000","1260.0180","1265.7440","1239.7760"
"2018/04/27","1258.1050","0.0000","1284.3590","1285.0100","1252.2760"
"2018/04/26","1268.2100","0.0000","1263.8680","1268.9630","1254.4630"
"2018/04/25","1242.1940","0.0000","1249.9890","1253.6880","1223.0910"
"2018/04/24","1243.6650","0.0000","1266.7240","1276.3140","1232.8990"
"2018/04/23","1253.9770","0.0000","1275.9340","1278.4530","1251.2170"
"2018/04/20","1270.8280","0.0000","1285.2580","1291.8300","1265.4240"
"2018/04/19","1285.8810","0.0000","1313.8310","1319.2400","1281.4000"
"2018/04/18","1343.7830","0.0000","1346.2480","1351.5760","1331.9550"
"2018/04/17","1357.7200","0.0000","1342.6090","1360.6160","1340.6570"
"2018/04/16","1332.5160","0.0000","1336.6160","1339.6280","1321.1580"
"2018/04/13","1329.3960","0.0000","1355.0000","1355.0000","1325.0680"
"2018/04/12","1339.6620","0.0000","1325.8570","1343.1960","1324.0890"
"2018/04/11","1315.0590","0.0000","1306.2860","1326.2260","1304.4060"
"2018/04/10","1314.5420","0.0000","1305.9120","1321.9900","1295.3180"
"2018/04/09","1273.7970","0.0000","1276.4640","1310.3320","1272.9070"
"2018/04/06","1265.2530","0.0000","1285.1870","1301.6840","1260.4690"
"2018/04/05","1305.2390","0.0000","1325.6310","1329.3380","1296.5620"
"2018/04/04","1319.0140","0.0000","1266.0590","1321.9610","1266.0590"
"2018/04/03","1302.0910","0.0000","1292.7470","1305.1360","1279.4450"
"2018/04/02","1277.0130","0.0000","1316.7630","1326.0930","1265.2480"
"2018/03/29","1328.9020","0.0000","1312.3070","1340.6560","1300.0800"
"2018/03/28","1299.8220","0.0000","1319.7930","1331.7990","1294.3050"
"2018/03/27","1327.9410","0.0000","1390.1110","1391.0070","1317.9640"
"2018/03/26","1380.1030","0.0000","1354.3010","1380.1400","1338.7510"
"2018/03/23","1323.9240","0.0000","1365.8180","1370.2860","1323.9190"
"2018/03/22","1368.9800","0.0000","1386.0720","1399.6320","1368.5000"
"2018/03/21","1407.9780","0.0000","1403.4230","1425.0690","1401.4700"
"2018/03/20","1405.5040","0.0000","1397.6250","1409.7030","1396.0530"
"2018/03/19","1394.8150","0.0000","1409.4270","1414.5000","1375.3810"
"2018/03/16","1422.5430","0.0000","1427.1960","1430.5660","1419.9260"
"2018/03/15","1422.0720","0.0000","1428.5070","1431.9570","1415.5670"
"2018/03/14","1423.4950","0.0000","1429.9080","1430.2670","1410.5960"
"2018/03/13","1423.4580","0.0000","1454.7450","1464.6150","1417.4640"
