customer_unique_id,recency,frequency,monetary
0488f8e76b2ddeff4d52caa56df477ff,67,1,93.31
048926190c0fda585ea55293b1408eb3,75,1,39.69
048944643823b6e95b24c1e04e86275a,23,1,161.37
0489eb155166019d60e13ca2b0f76895,84,1,100.3
048afeb603cb6f95968487df5fadfec7,3,1,125.52
048b318eec13e314211f2b3d99b29e7e,66,1,30.86
048d8f14e6405a5a157e74724357086f,33,1,33.17
048df8b25dc48e1554eccde119d6cecd,60,1,237.63
04a324a336173e546dab5835e0b287bc,0,1,68.63
04b090bfb11c279aeffeec7b476aaa2c,52,1,103.37
04b3b974dfe285ac9f2eb96a6a9cbb9c,28,1,504.3
04b4f3b816ff05fcc63b8a88e1f65b63,32,1,126.81
04b79f3df1e09f5a156db966f2edc852,70,1,77.84
04b9a14c0f0e107453338b7d85ea15e0,79,1,65.05
04ba08bda026040bab8bd9895eed89ad,39,1,75.39
04c55667b44fae5f50ed71d40c633d09,23,8,118.25
04c5e6911ae15e4dfb5606026781c908,33,1,156.64
04c83639f720ad66ffb6b8ba9afca9d6,51,1,152.39
04ccbcbbef2cab112c2b5e1589bdf9dd,56,1,105.95
04d0e3bb47826531ca93b70f7f442923,67,1,32.52
04d3c2795b83634312bf3f86f41f7901,21,1,519.74
04d929d2e9cab47785a03ab681dfc62b,37,1,116.94
04e01ceba008c9f51cb4e9eb876dfc6a,66,1,483.67
04e495a3f45df8b41be2e934bbc16961,52,1,132.26
04e5504bb1f294ad6f6c7f5157a24eb0,13,1,246.36
04e5a8efc73cc750a235284e801a2d28,64,1,24.96
04e9d0d712ca6da77124d0ee12be1d6a,12,1,100.0
04f1fd1b75385fd1c7b6de018e0c4ab3,43,1,804.33
04f7df7bc1e973191b15f67fb1648d34,44,1,115.15
0503aa9015de64a6655ea58bf32c6034,44,1,81.89
05042944408edc1795465efe58536e4a,15,1,178.25
051728482e7cf26b974f874001d4cc65,82,1,310.65
0518f492a1f99b371aec1cbcf8da576e,0,1,83.2
05205c3546aefb9ac9436fed99f92af1,57,1,219.89
05245bc04a232db14bfa07a935f8f0e2,59,1,204.0
052ecc20fc75531a24365017cccf4b44,77,1,975.44
053f7850c3ffd9726cff61c7e42af797,1,2,61.54
0545ab6349de18e6a015b68c6eb2a377,84,1,107.05
05522a7d5a42ae78340a87272c48621a,49,1,122.17
055e3d2a2a5a60055ea33e135227bf99,8,1,186.79
055ec572ac7f3c7bdd04a183830ebe59,12,1,2026.54
0561627154992057c23a3630478e6a44,72,1,45.95
0570089e1e1b3cf57b7f7d545cb204aa,28,1,121.09
0573d0e58acad0252c134f6f8b5e20ec,11,1,164.31
05755725f3a0c8a02ff4c66bed06628d,62,1,49.1
057581e17e81bd35d08e3cdc8f79e60a,86,1,345.18
0577db0efc765dafeb6ff6ad59238c0e,32,1,76.0
057854159bbc3a0aca93bbecd210c495,19,1,80.56
057f7fafc983275ba2d7a10e029803a6,48,1,129.91
0583cd120bb9d6983181ca37d54e9d95,51,1,50.98
058b4f94b9f3d56dfed6db3bc7e68590,81,1,118.28
058e28fceb01698d7eefe53e8fe2ce9e,22,1,65.1
059253065c26a364810154b4792fd748,90,1,92.16
059651e2ae17025bfe1e9aee451c94d3,15,1,103.55
0596964a37f26c52511c462d26cca8c9,62,1,100.76
05a0f07d29f7001f0e98fe7093869fd7,7,1,50.69
05a2746f52eedb30b1ba9a67a457e605,46,2,72.66
05a2a8159b5f30e79614ae9e14cafc4a,37,1,57.24
05a3b50193563913613acada5c86b1d2,12,1,123.01
05a993b922d6998fb0106c37dbf5f472,54,1,159.56
05b0ef4db4b270f35b932bd7157fa44c,35,1,475.97
05c28100d58083915a789abbe5994929,68,1,123.25
05d1d2d9f0161c5f397ce7fc770910d4,40,1,97.42
05daf48671f2479af012c6d45b3bce69,63,1,67.24
05e52c1f96f8b83dd66dcdce679ff58d,48,1,74.88
05eb2fca0a8ccfee8c2cbe338bb5072c,16,1,68.62
05eecdc8cf80e10dc84ce98e448fff8b,52,1,49.0
05f20ede6bed5ad392953e8b43583336,84,1,242.76
05f4c38a6a0d7721710ef3cf2d1075ab,56,1,72.71
05faacb341f559326429dc9a3a07b5f2,58,1,75.53
05fef3a82802270f3bfb10eaa50b29c1,22,1,111.81
060743c63d9c6f3debcf3f390b0b2da9,11,1,123.05
0608b94dd7f1fdddbe1216c453dab7de,28,1,223.01
06130e682d8ee0cba49124f483ea3de0,74,1,62.34
0613323bd971009c4763e1981c8e3cfc,45,1,60.09
061f0fd9919c62b1742303ea0cfc4d6b,11,1,63.38
0621c2a5979d3e887ae519620cbe2926,21,1,304.2
062db47088ed7f674d6716ebeeb9e6b9,44,1,250.04
0634a0879af28b3d4ce68b1904e05dde,37,1,33.37
06363e534fc0d82575e6e9f85c25ed18,28,1,109.31
0637b8b30ad31760ec80e9338b17fee8,70,1,180.31
063e563c60e718859ed7a9708d0819c1,59,1,156.09
063f4dda9bafdaa9438900f29fe9e0a3,37,1,143.89
064897171cbd28f9446c4af4c6dbdde6,19,1,139.55
064b4e180166294e451887ff8b5a74d7,27,1,34.09
0651cfbea51afc6cfa5ec45bca3ee692,43,1,14.78
065938485846aa5adc196cb536de42e0,24,1,272.63
065dcef61d5f66b30d2ee51b5343d023,78,1,85.6
0666ba861e36a64cb905ec389d630357,21,1,367.2
06688c85b652dcedc744636df2fdb09e,4,1,43.27
066ad00bcceca1e223f671be9e9a5df3,28,1,66.1
066ee6b9c6fc284260ff9a1274a82ca7,10,1,1421.69
067843a903239951b74d81abf2c9bf37,0,1,216.07
06791add1b4b5c8530f8090bb63bb2ab,28,1,54.1
067fe68a7a118f91c50eb69fedb34edb,17,1,56.78
068be1461b57abc604678efe3ec659c2,26,1,47.1
0690c2d69698335f19976f6325e9425a,78,1,51.68
069257bdd5fbd8d850bea16dc7b15b37,53,1,169.01
0695109d8c6c82bacc86e47a6246c390,6,1,707.19
06951473be1f404150e8c669ee16635a,45,1,109.31
06988894a3d1c8f0757e81f24678e6e5,5,1,148.06
0698d10fc985e49edcd35ca9d7616dab,11,1,47.69
06a0ecf9b9478c4d3707dec257facf6b,40,1,117.85
06a1c3debf78ec7a3525040f6d9c16fb,36,1,196.92
06a52782a04f0086d16b9c22d0e29438,55,3,153.32999999999998
06b37045ba2773b8ce1b3d27c94d3e3a,86,1,113.08
06b62401a89eed34edccffcdcd014bd6,75,1,190.86
06b6656e6aba924b64a5d671d1b1ec2e,86,1,1225.59
06c5db39fbbb2349c91208f215c0fc5b,12,1,268.99
06cb9de4265f5e18327a1e4608a1c85c,45,1,49.1
06cda0f6b654274ef36983dc027aecaa,85,1,386.66
06e064e7008f3d351d74a80da7576bcc,73,1,469.84
06e68689519c16fe618873e8e182d298,90,1,106.23
06f32fb3e14b969d0e991af7d08818db,80,1,128.48
070083744069f19ac8b6c89e464ae411,32,1,82.73
070da753b3edceb495ca2ab66085455e,38,1,175.77
070faa17ae87e63c0cf50efe8287e913,12,1,114.44
0710a39bc5775c4db1ec1b8a1acf84ec,46,1,75.19
07124ebbabe334f7b0cb2e7ec78bf00f,19,1,67.77
071502ba82719316e5f346f8f2da02c4,78,1,177.86
07212b6b20c842faac31170b9dfd66e6,53,1,256.43
07319d7b7677470c57d132ed034858ec,11,1,85.8
